position_code,skill_id,skill_score
General and Operations Managers,Speaking,4.0
General and Operations Managers,Speaking,4.0
General and Operations Managers,Mathematics,2.38
General and Operations Managers,Mathematics,2.5
General and Operations Managers,Science,1.88
General and Operations Managers,Science,1.12
General and Operations Managers,Critical Thinking,3.88
General and Operations Managers,Critical Thinking,4.0
General and Operations Managers,Active Learning,3.5
General and Operations Managers,Active Learning,3.62
General and Operations Managers,Learning Strategies,3.0
General and Operations Managers,Learning Strategies,3.25
General and Operations Managers,Monitoring,4.0
General and Operations Managers,Monitoring,4.0
General and Operations Managers,Social Perceptiveness,4.0
General and Operations Managers,Social Perceptiveness,4.0
General and Operations Managers,Coordination,4.0
General and Operations Managers,Coordination,3.88
General and Operations Managers,Persuasion,3.38
General and Operations Managers,Persuasion,3.5
General and Operations Managers,Negotiation,3.62
General and Operations Managers,Negotiation,3.62
General and Operations Managers,Instructing,3.12
General and Operations Managers,Instructing,3.25
General and Operations Managers,Service Orientation,3.25
General and Operations Managers,Service Orientation,3.12
General and Operations Managers,Complex Problem Solving,3.5
General and Operations Managers,Complex Problem Solving,3.75
General and Operations Managers,Operations Analysis,2.75
General and Operations Managers,Operations Analysis,3.12
General and Operations Managers,Technology Design,1.88
General and Operations Managers,Technology Design,1.12
General and Operations Managers,Equipment Selection,1.0
General and Operations Managers,Equipment Selection,0.0
General and Operations Managers,Installation,1.0
General and Operations Managers,Installation,0.0
General and Operations Managers,Programming,1.5
General and Operations Managers,Programming,0.62
General and Operations Managers,Operations Monitoring,2.75
General and Operations Managers,Operations Monitoring,2.62
General and Operations Managers,Operation and Control,2.0
General and Operations Managers,Operation and Control,1.75
General and Operations Managers,Equipment Maintenance,1.0
General and Operations Managers,Equipment Maintenance,0.0
General and Operations Managers,Troubleshooting,2.0
General and Operations Managers,Troubleshooting,1.38
General and Operations Managers,Repairing,1.0
General and Operations Managers,Repairing,0.0
General and Operations Managers,Quality Control Analysis,2.38
General and Operations Managers,Quality Control Analysis,2.12
General and Operations Managers,Judgment and Decision Making,3.5
General and Operations Managers,Judgment and Decision Making,3.75
General and Operations Managers,Systems Analysis,3.0
General and Operations Managers,Systems Analysis,3.0
General and Operations Managers,Systems Evaluation,3.0
General and Operations Managers,Systems Evaluation,3.12
General and Operations Managers,Time Management,3.75
General and Operations Managers,Time Management,3.75
General and Operations Managers,Management of Financial Resources,3.12
General and Operations Managers,Management of Financial Resources,3.38
General and Operations Managers,Management of Material Resources,3.25
General and Operations Managers,Management of Material Resources,3.25
General and Operations Managers,Management of Personnel Resources,3.5
General and Operations Managers,Management of Personnel Resources,3.88
Advertising and Promotions Managers,Reading Comprehension,3.75
Advertising and Promotions Managers,Reading Comprehension,4.0
Advertising and Promotions Managers,Active Listening,4.12
Advertising and Promotions Managers,Active Listening,4.12
Advertising and Promotions Managers,Writing,3.75
Advertising and Promotions Managers,Writing,3.88
Advertising and Promotions Managers,Speaking,4.0
Advertising and Promotions Managers,Speaking,4.12
Advertising and Promotions Managers,Mathematics,3.0
Advertising and Promotions Managers,Mathematics,3.25
Advertising and Promotions Managers,Science,1.62
Advertising and Promotions Managers,Science,0.62
Advertising and Promotions Managers,Critical Thinking,4.0
Advertising and Promotions Managers,Critical Thinking,4.12
Advertising and Promotions Managers,Active Learning,3.25
Advertising and Promotions Managers,Active Learning,4.12
Advertising and Promotions Managers,Learning Strategies,3.0
Advertising and Promotions Managers,Learning Strategies,3.25
Advertising and Promotions Managers,Monitoring,3.25
Advertising and Promotions Managers,Monitoring,4.25
Advertising and Promotions Managers,Social Perceptiveness,4.0
Advertising and Promotions Managers,Social Perceptiveness,4.0
Advertising and Promotions Managers,Coordination,3.5
Advertising and Promotions Managers,Coordination,4.12
Advertising and Promotions Managers,Persuasion,3.38
Advertising and Promotions Managers,Persuasion,3.88
Advertising and Promotions Managers,Negotiation,3.12
Advertising and Promotions Managers,Negotiation,3.75
Advertising and Promotions Managers,Instructing,2.88
Advertising and Promotions Managers,Instructing,3.0
Advertising and Promotions Managers,Service Orientation,3.12
Advertising and Promotions Managers,Service Orientation,3.25
Advertising and Promotions Managers,Complex Problem Solving,3.5
Advertising and Promotions Managers,Complex Problem Solving,3.88
Advertising and Promotions Managers,Operations Analysis,2.75
Advertising and Promotions Managers,Operations Analysis,3.12
Advertising and Promotions Managers,Technology Design,1.75
Advertising and Promotions Managers,Technology Design,0.75
Advertising and Promotions Managers,Equipment Selection,1.12
Advertising and Promotions Managers,Equipment Selection,0.12
Advertising and Promotions Managers,Installation,1.0
Advertising and Promotions Managers,Installation,0.0
Advertising and Promotions Managers,Programming,1.75
Advertising and Promotions Managers,Programming,0.75
Advertising and Promotions Managers,Operations Monitoring,1.62
Advertising and Promotions Managers,Operations Monitoring,0.62
Advertising and Promotions Managers,Operation and Control,1.0
Advertising and Promotions Managers,Operation and Control,0.0
Advertising and Promotions Managers,Equipment Maintenance,1.0
Advertising and Promotions Managers,Equipment Maintenance,0.0
Advertising and Promotions Managers,Troubleshooting,1.0
Advertising and Promotions Managers,Troubleshooting,0.0
Advertising and Promotions Managers,Repairing,1.0
Advertising and Promotions Managers,Repairing,0.0
Advertising and Promotions Managers,Quality Control Analysis,1.62
Advertising and Promotions Managers,Quality Control Analysis,1.0
Advertising and Promotions Managers,Judgment and Decision Making,3.75
Advertising and Promotions Managers,Judgment and Decision Making,4.0
Advertising and Promotions Managers,Systems Analysis,3.12
Advertising and Promotions Managers,Systems Analysis,3.12
Advertising and Promotions Managers,Systems Evaluation,3.12
Advertising and Promotions Managers,Systems Evaluation,3.75
Advertising and Promotions Managers,Time Management,3.5
Advertising and Promotions Managers,Time Management,3.88
Advertising and Promotions Managers,Management of Financial Resources,2.75
Advertising and Promotions Managers,Management of Financial Resources,3.62
Advertising and Promotions Managers,Management of Material Resources,2.62
Advertising and Promotions Managers,Management of Material Resources,2.62
Advertising and Promotions Managers,Management of Personnel Resources,3.12
Advertising and Promotions Managers,Management of Personnel Resources,3.88
Marketing Managers,Reading Comprehension,3.88
Marketing Managers,Reading Comprehension,4.25
Marketing Managers,Active Listening,3.88
Marketing Managers,Active Listening,4.12
Marketing Managers,Writing,3.25
Marketing Managers,Writing,3.88
Marketing Managers,Speaking,3.88
Marketing Managers,Speaking,4.12
Marketing Managers,Mathematics,2.75
Marketing Managers,Mathematics,3.12
Marketing Managers,Science,1.75
Marketing Managers,Science,1.5
Marketing Managers,Critical Thinking,3.88
Marketing Managers,Critical Thinking,4.25
Marketing Managers,Active Learning,3.88
Marketing Managers,Active Learning,4.12
Marketing Managers,Learning Strategies,3.12
Marketing Managers,Learning Strategies,3.5
Marketing Managers,Monitoring,3.75
Marketing Managers,Monitoring,4.25
Marketing Managers,Social Perceptiveness,3.88
Marketing Managers,Social Perceptiveness,4.0
Marketing Managers,Coordination,3.5
Marketing Managers,Coordination,3.75
Marketing Managers,Persuasion,3.75
Marketing Managers,Persuasion,4.38
Marketing Managers,Negotiation,3.62
Marketing Managers,Negotiation,3.88
Marketing Managers,Instructing,3.0
Marketing Managers,Instructing,3.5
Marketing Managers,Service Orientation,3.12
Marketing Managers,Service Orientation,3.25
Marketing Managers,Complex Problem Solving,3.62
Marketing Managers,Complex Problem Solving,3.88
Marketing Managers,Operations Analysis,3.38
Marketing Managers,Operations Analysis,3.62
Marketing Managers,Technology Design,1.75
Marketing Managers,Technology Design,0.88
Marketing Managers,Equipment Selection,1.0
Marketing Managers,Equipment Selection,0.0
Marketing Managers,Installation,1.0
Marketing Managers,Installation,0.0
Marketing Managers,Programming,1.88
Marketing Managers,Programming,1.25
Marketing Managers,Operations Monitoring,1.75
Marketing Managers,Operations Monitoring,1.25
Marketing Managers,Operation and Control,1.0
Marketing Managers,Operation and Control,0.0
Marketing Managers,Equipment Maintenance,1.0
Marketing Managers,Equipment Maintenance,0.0
Marketing Managers,Troubleshooting,1.0
Marketing Managers,Troubleshooting,0.0
Marketing Managers,Repairing,1.0
Marketing Managers,Repairing,0.0
Marketing Managers,Quality Control Analysis,1.88
Marketing Managers,Quality Control Analysis,1.38
Marketing Managers,Judgment and Decision Making,3.75
Marketing Managers,Judgment and Decision Making,4.0
Marketing Managers,Systems Analysis,3.25
Marketing Managers,Systems Analysis,3.75
Marketing Managers,Systems Evaluation,3.5
Marketing Managers,Systems Evaluation,3.75
Marketing Managers,Time Management,3.5
Marketing Managers,Time Management,3.75
Marketing Managers,Management of Financial Resources,2.88
Marketing Managers,Management of Financial Resources,3.75
Marketing Managers,Management of Material Resources,2.62
Marketing Managers,Management of Material Resources,2.75
Marketing Managers,Management of Personnel Resources,3.38
Marketing Managers,Management of Personnel Resources,3.88
Sales Managers,Reading Comprehension,3.88
Sales Managers,Reading Comprehension,4.0
Sales Managers,Active Listening,4.0
Sales Managers,Active Listening,4.0
Sales Managers,Writing,3.62
Sales Managers,Writing,4.0
Sales Managers,Speaking,4.0
Sales Managers,Speaking,4.12
Sales Managers,Mathematics,3.0
Sales Managers,Mathematics,3.25
Sales Managers,Science,1.62
Sales Managers,Science,0.62
Sales Managers,Critical Thinking,3.88
Sales Managers,Critical Thinking,4.0
Sales Managers,Active Learning,3.75
Sales Managers,Active Learning,3.88
Sales Managers,Learning Strategies,3.25
Sales Managers,Learning Strategies,3.75
Sales Managers,Monitoring,3.75
Sales Managers,Monitoring,4.75
Sales Managers,Social Perceptiveness,3.88
Sales Managers,Social Perceptiveness,4.12
Sales Managers,Coordination,3.88
Sales Managers,Coordination,4.12
Sales Managers,Persuasion,4.12
Sales Managers,Persuasion,4.38
Sales Managers,Negotiation,3.88
Sales Managers,Negotiation,3.88
Sales Managers,Instructing,3.62
Sales Managers,Instructing,3.62
Sales Managers,Service Orientation,3.88
Sales Managers,Service Orientation,3.88
Sales Managers,Complex Problem Solving,3.75
Sales Managers,Complex Problem Solving,3.88
Sales Managers,Operations Analysis,2.62
Sales Managers,Operations Analysis,2.88
Sales Managers,Technology Design,1.75
Sales Managers,Technology Design,0.88
Sales Managers,Equipment Selection,1.0
Sales Managers,Equipment Selection,0.0
Sales Managers,Installation,1.0
Sales Managers,Installation,0.0
Sales Managers,Programming,1.62
Sales Managers,Programming,0.88
Sales Managers,Operations Monitoring,1.75
Sales Managers,Operations Monitoring,1.75
Sales Managers,Operation and Control,1.75
Sales Managers,Operation and Control,1.25
Sales Managers,Equipment Maintenance,1.0
Sales Managers,Equipment Maintenance,0.0
Sales Managers,Troubleshooting,1.0
Sales Managers,Troubleshooting,0.0
Sales Managers,Repairing,1.0
Sales Managers,Repairing,0.0
Sales Managers,Quality Control Analysis,1.75
Sales Managers,Quality Control Analysis,1.38
Sales Managers,Judgment and Decision Making,3.75
Sales Managers,Judgment and Decision Making,4.0
Sales Managers,Systems Analysis,3.62
Sales Managers,Systems Analysis,3.75
Sales Managers,Systems Evaluation,3.62
Sales Managers,Systems Evaluation,3.88
Sales Managers,Time Management,3.5
Sales Managers,Time Management,3.88
Sales Managers,Management of Financial Resources,3.0
Sales Managers,Management of Financial Resources,3.62
Sales Managers,Management of Material Resources,2.88
Sales Managers,Management of Material Resources,3.0
Sales Managers,Management of Personnel Resources,3.75
Sales Managers,Management of Personnel Resources,4.0
Administrative Services Managers,Reading Comprehension,4.0
Administrative Services Managers,Reading Comprehension,4.0
Administrative Services Managers,Active Listening,4.0
Administrative Services Managers,Active Listening,4.0
Administrative Services Managers,Writing,3.75
Administrative Services Managers,Writing,3.75
Administrative Services Managers,Speaking,3.88
Administrative Services Managers,Speaking,3.88
Administrative Services Managers,Mathematics,2.25
Administrative Services Managers,Mathematics,2.12
Administrative Services Managers,Science,1.0
Administrative Services Managers,Science,0.0
Administrative Services Managers,Critical Thinking,3.75
Administrative Services Managers,Critical Thinking,3.88
Administrative Services Managers,Active Learning,3.12
Administrative Services Managers,Active Learning,3.38
Administrative Services Managers,Learning Strategies,3.0
Administrative Services Managers,Learning Strategies,3.25
Administrative Services Managers,Monitoring,3.38
Administrative Services Managers,Monitoring,3.62
Administrative Services Managers,Social Perceptiveness,3.25
Administrative Services Managers,Social Perceptiveness,3.75
Administrative Services Managers,Coordination,3.75
Administrative Services Managers,Coordination,3.62
Administrative Services Managers,Persuasion,3.0
Administrative Services Managers,Persuasion,3.12
Administrative Services Managers,Negotiation,3.62
Administrative Services Managers,Negotiation,3.25
Administrative Services Managers,Instructing,3.0
Administrative Services Managers,Instructing,3.25
Administrative Services Managers,Service Orientation,3.25
Administrative Services Managers,Service Orientation,3.25
Administrative Services Managers,Complex Problem Solving,3.25
Administrative Services Managers,Complex Problem Solving,3.12
Administrative Services Managers,Operations Analysis,2.75
Administrative Services Managers,Operations Analysis,2.5
Administrative Services Managers,Technology Design,1.5
Administrative Services Managers,Technology Design,0.75
Administrative Services Managers,Equipment Selection,1.12
Administrative Services Managers,Equipment Selection,0.25
Administrative Services Managers,Installation,1.0
Administrative Services Managers,Installation,0.0
Administrative Services Managers,Programming,1.38
Administrative Services Managers,Programming,0.62
Administrative Services Managers,Operations Monitoring,2.25
Administrative Services Managers,Operations Monitoring,2.25
Administrative Services Managers,Operation and Control,1.62
Administrative Services Managers,Operation and Control,1.0
Administrative Services Managers,Equipment Maintenance,1.0
Administrative Services Managers,Equipment Maintenance,0.0
Administrative Services Managers,Troubleshooting,1.88
Administrative Services Managers,Troubleshooting,1.25
Administrative Services Managers,Repairing,1.0
Administrative Services Managers,Repairing,0.0
Administrative Services Managers,Quality Control Analysis,2.25
Administrative Services Managers,Quality Control Analysis,2.12
Administrative Services Managers,Judgment and Decision Making,3.25
Administrative Services Managers,Judgment and Decision Making,3.12
Administrative Services Managers,Systems Analysis,3.12
Administrative Services Managers,Systems Analysis,3.12
Administrative Services Managers,Systems Evaluation,2.75
Administrative Services Managers,Systems Evaluation,3.12
Administrative Services Managers,Time Management,4.0
Administrative Services Managers,Time Management,4.0
Administrative Services Managers,Management of Financial Resources,2.88
Administrative Services Managers,Management of Financial Resources,2.88
Administrative Services Managers,Management of Material Resources,2.88
Administrative Services Managers,Management of Material Resources,2.88
Administrative Services Managers,Management of Personnel Resources,3.38
Administrative Services Managers,Management of Personnel Resources,3.75
Computer and Information Systems Managers,Reading Comprehension,4.0
Computer and Information Systems Managers,Reading Comprehension,4.0
Computer and Information Systems Managers,Active Listening,4.0
Computer and Information Systems Managers,Active Listening,4.0
Computer and Information Systems Managers,Writing,3.75
Computer and Information Systems Managers,Writing,4.0
Computer and Information Systems Managers,Speaking,3.88
Computer and Information Systems Managers,Speaking,3.88
Computer and Information Systems Managers,Mathematics,3.12
Computer and Information Systems Managers,Mathematics,3.12
Computer and Information Systems Managers,Science,1.75
Computer and Information Systems Managers,Science,1.38
Computer and Information Systems Managers,Critical Thinking,4.12
Computer and Information Systems Managers,Critical Thinking,4.0
Computer and Information Systems Managers,Active Learning,3.38
Computer and Information Systems Managers,Active Learning,3.88
Computer and Information Systems Managers,Learning Strategies,3.25
Computer and Information Systems Managers,Learning Strategies,3.5
Computer and Information Systems Managers,Monitoring,3.88
Computer and Information Systems Managers,Monitoring,4.38
Computer and Information Systems Managers,Social Perceptiveness,3.62
Computer and Information Systems Managers,Social Perceptiveness,3.75
Computer and Information Systems Managers,Coordination,3.75
Computer and Information Systems Managers,Coordination,3.88
Computer and Information Systems Managers,Persuasion,3.12
Computer and Information Systems Managers,Persuasion,3.5
Computer and Information Systems Managers,Negotiation,3.0
Computer and Information Systems Managers,Negotiation,3.25
Computer and Information Systems Managers,Instructing,3.12
Computer and Information Systems Managers,Instructing,3.88
Computer and Information Systems Managers,Service Orientation,2.88
Computer and Information Systems Managers,Service Orientation,3.12
Computer and Information Systems Managers,Complex Problem Solving,3.75
Computer and Information Systems Managers,Complex Problem Solving,3.88
Computer and Information Systems Managers,Operations Analysis,3.12
Computer and Information Systems Managers,Operations Analysis,3.38
Computer and Information Systems Managers,Technology Design,2.5
Computer and Information Systems Managers,Technology Design,2.0
Computer and Information Systems Managers,Equipment Selection,1.88
Computer and Information Systems Managers,Equipment Selection,2.0
Computer and Information Systems Managers,Installation,1.0
Computer and Information Systems Managers,Installation,0.0
Computer and Information Systems Managers,Programming,2.75
Computer and Information Systems Managers,Programming,2.62
Computer and Information Systems Managers,Operations Monitoring,2.88
Computer and Information Systems Managers,Operations Monitoring,2.88
Computer and Information Systems Managers,Operation and Control,2.0
Computer and Information Systems Managers,Operation and Control,1.62
Computer and Information Systems Managers,Equipment Maintenance,1.38
Computer and Information Systems Managers,Equipment Maintenance,0.62
Computer and Information Systems Managers,Troubleshooting,2.5
Computer and Information Systems Managers,Troubleshooting,2.5
Computer and Information Systems Managers,Repairing,1.5
Computer and Information Systems Managers,Repairing,0.75
Computer and Information Systems Managers,Quality Control Analysis,2.75
Computer and Information Systems Managers,Quality Control Analysis,3.0
Computer and Information Systems Managers,Judgment and Decision Making,3.88
Computer and Information Systems Managers,Judgment and Decision Making,3.75
Computer and Information Systems Managers,Systems Analysis,3.62
Computer and Information Systems Managers,Systems Analysis,3.5
Computer and Information Systems Managers,Systems Evaluation,3.62
Computer and Information Systems Managers,Systems Evaluation,3.88
Computer and Information Systems Managers,Time Management,3.38
Computer and Information Systems Managers,Time Management,3.75
Computer and Information Systems Managers,Management of Financial Resources,3.0
Computer and Information Systems Managers,Management of Financial Resources,3.38
Computer and Information Systems Managers,Management of Material Resources,2.75
Computer and Information Systems Managers,Management of Material Resources,3.12
Computer and Information Systems Managers,Management of Personnel Resources,3.62
Computer and Information Systems Managers,Management of Personnel Resources,3.75
Financial Managers,Reading Comprehension,4.0
Financial Managers,Reading Comprehension,4.38
Financial Managers,Active Listening,4.0
Financial Managers,Active Listening,4.38
Financial Managers,Writing,3.75
Financial Managers,Writing,3.62
Financial Managers,Speaking,4.0
Financial Managers,Speaking,4.12
Financial Managers,Mathematics,3.5
Financial Managers,Mathematics,3.62
Financial Managers,Science,1.25
Financial Managers,Science,0.25
Financial Managers,Critical Thinking,4.0
Financial Managers,Critical Thinking,4.25
Financial Managers,Active Learning,3.5
Financial Managers,Active Learning,4.0
Financial Managers,Learning Strategies,3.0
Financial Managers,Learning Strategies,3.38
Financial Managers,Monitoring,3.75
Financial Managers,Monitoring,4.12
Financial Managers,Social Perceptiveness,3.62
Financial Managers,Social Perceptiveness,3.75
Financial Managers,Coordination,3.62
Financial Managers,Coordination,3.75
Financial Managers,Persuasion,3.38
Financial Managers,Persuasion,3.75
Financial Managers,Negotiation,3.12
Financial Managers,Negotiation,3.75
Financial Managers,Instructing,2.88
Financial Managers,Instructing,3.38
Financial Managers,Service Orientation,3.62
Financial Managers,Service Orientation,3.62
Financial Managers,Complex Problem Solving,3.62
Financial Managers,Complex Problem Solving,3.88
Financial Managers,Operations Analysis,1.75
Financial Managers,Operations Analysis,1.12
Financial Managers,Technology Design,1.62
Financial Managers,Technology Design,0.88
Financial Managers,Equipment Selection,1.25
Financial Managers,Equipment Selection,0.38
Financial Managers,Installation,1.0
Financial Managers,Installation,0.0
Financial Managers,Programming,1.88
Financial Managers,Programming,1.62
Financial Managers,Operations Monitoring,1.88
Financial Managers,Operations Monitoring,1.38
Financial Managers,Operation and Control,1.12
Financial Managers,Operation and Control,0.12
Financial Managers,Equipment Maintenance,1.0
Financial Managers,Equipment Maintenance,0.0
Financial Managers,Troubleshooting,1.25
Financial Managers,Troubleshooting,0.38
Financial Managers,Repairing,1.0
Financial Managers,Repairing,0.0
Financial Managers,Quality Control Analysis,1.88
Financial Managers,Quality Control Analysis,1.5
Financial Managers,Judgment and Decision Making,3.62
Financial Managers,Judgment and Decision Making,3.88
Financial Managers,Systems Analysis,3.0
Financial Managers,Systems Analysis,3.25
Financial Managers,Systems Evaluation,3.0
Financial Managers,Systems Evaluation,3.25
Financial Managers,Time Management,3.62
Financial Managers,Time Management,3.75
Financial Managers,Management of Financial Resources,3.12
Financial Managers,Management of Financial Resources,3.62
Financial Managers,Management of Material Resources,2.38
Financial Managers,Management of Material Resources,2.12
Financial Managers,Management of Personnel Resources,3.62
Financial Managers,Management of Personnel Resources,4.0
Treasurers and Controllers,Reading Comprehension,4.12
Treasurers and Controllers,Reading Comprehension,4.25
Treasurers and Controllers,Active Listening,3.88
Treasurers and Controllers,Active Listening,4.25
Treasurers and Controllers,Writing,3.62
Treasurers and Controllers,Writing,4.12
Treasurers and Controllers,Speaking,4.0
Treasurers and Controllers,Speaking,4.25
Treasurers and Controllers,Mathematics,3.75
Treasurers and Controllers,Mathematics,4.25
Treasurers and Controllers,Science,1.25
Treasurers and Controllers,Science,0.25
Treasurers and Controllers,Critical Thinking,4.12
Treasurers and Controllers,Critical Thinking,4.75
Treasurers and Controllers,Active Learning,3.62
Treasurers and Controllers,Active Learning,4.25
Treasurers and Controllers,Learning Strategies,3.0
Treasurers and Controllers,Learning Strategies,3.38
Treasurers and Controllers,Monitoring,3.88
Treasurers and Controllers,Monitoring,4.5
Treasurers and Controllers,Social Perceptiveness,3.12
Treasurers and Controllers,Social Perceptiveness,3.62
Treasurers and Controllers,Coordination,3.38
Treasurers and Controllers,Coordination,3.62
Treasurers and Controllers,Persuasion,3.0
Treasurers and Controllers,Persuasion,3.75
Treasurers and Controllers,Negotiation,3.12
Treasurers and Controllers,Negotiation,3.12
Treasurers and Controllers,Instructing,2.88
Treasurers and Controllers,Instructing,3.12
Treasurers and Controllers,Service Orientation,2.75
Treasurers and Controllers,Service Orientation,2.75
Treasurers and Controllers,Complex Problem Solving,4.12
Treasurers and Controllers,Complex Problem Solving,4.38
Treasurers and Controllers,Operations Analysis,2.62
Treasurers and Controllers,Operations Analysis,3.12
Treasurers and Controllers,Technology Design,1.62
Treasurers and Controllers,Technology Design,0.62
Treasurers and Controllers,Equipment Selection,1.0
Treasurers and Controllers,Equipment Selection,0.0
Treasurers and Controllers,Installation,1.0
